32,1,21,6,18,33,10,21,21,10,6,23,7,38,10,24,11,36,3,31,16,5,14,35,35,34,18,1,11,9,8,7,23,13,21,8,34,20,35,18,22,6,5,1,7,37,39,3,7,14,24,38,26,5,21,39,8,30,26,10,29,27,25,23,17,38,6,31,26,8,30,10,33,27,4,31,13,10,38,35,10,22,25,12,22,4,23,18,38,39,8,30,19,18,8,32,29,4,37,34
22,16,14,35,19,23,27,8,31,39,18,19,38,13,38,15,19,29,21,5,4,19,2,8,24,24,33,11,15,7,37,33,37,32,25,3,31,8,33,13,9,12,11,27,8,4,35,8,20,17,17,7,18,8,11,13,17,26,15,32,33,12,5,27,18,28,24,10,16,12,6,24,21,32,18,19,33,30,7,15,18,39,33,22,24,14,2,33,19,5,21,7,1,19,14,38,16,31,19,36
34,29,13,29,14,29,7,30,13,25,19,31,20,25,32,7,29,15,18,17,17,15,7,34,12,8,12,35,36,24,17,24,22,35,3,24,36,5,31,39,38,16,37,23,37,28,37,4,38,30,29,28,9,13,24,4,27,25,17,8,21,16,23,36,21,15,3,18,4,33,28,12,26,36,21,17,22,35,5,29,14,8,39,16,27,34,34,28,30,3,39,37,35,1,10,27,20,10,30,17
35,30,34,2,34,21,31,28,7,7,33,11,5,11,14,8,22,19,30,32,36,21,36,14,8,33,38,12,35,16,25,31,16,11,28,22,27,6,21,10,35,26,26,12,20,27,5,14,9,20,26,20,2,24,32,23,12,28,1,13,25,35,3,14,39,14,35,30,5,15,39,36,11,18,25,21,2,11,3,31,32,37,23,31,6,16,4,5,29,13,9,16,10,25,29,11,37,7,17,2
6,15,18,10,9,16,37,31,24,18,12,35,17,12,39,9,1,9,8,3,18,32,13,16,27,36,35,8,31,1,27,39,11,26,5,4,11,31,11,1,39,25,3,11,3,39,13,15,17,19,27,5,21,18,10,30,35,2,24,9,15,24,21,17,19,22,27,8,24,29,37,6,16,33,30,8,17,17,23,19,22,4,3,36,4,38,29,27,11,31,26,8,29,37,13,18,7,30,35,25
3,6,37,4,4,22,2,33,8,9,29,32,19,23,24,14,12,10,37,15,9,22,23,2,20,29,9,10,29,3,39,8,3,39,7,10,1,14,26,12,14,37,1,38,2,8,36,16,5,5,8,15,13,25,28,16,26,27,25,35,4,3,13,22,30,13,22,14,17,39,14,2,15,25,33,24,24,6,18,13,36,18,24,33,12,18,18,9,12,32,11,39,24,16,23,24,10,11,1,31
16,38,23,31,10,24,35,37,23,6,35,38,1,35,1,12,25,28,24,1,24,13,19,5,39,7,3,9,6,31,12,21,28,2,27,2,39,27,19,23,19,31,25,31,27,1,8,7,24,28,15,22,10,15,2,1,6,6,33,30,35,23,2,29,20,30,10,36,7,21,38,23,2,17,10,2,4,3,26,4,13,16,27,25,26,3,8,31,33,29,19,15,39,13,34,12,28,13,22,4
11,21,27,19,20,19,1,23,9,14,9,13,31,22,13,31,37,11,4,22,25,34,11,6,15,5,11,24,25,35,20,19,25,6,16,11,32,16,37,5,3,32,14,36,29,18,7,31,33,29,6,24,8,1,30,35,10,23,32,26,39,6,28,5,26,17,2,15,28,9,1,11,10,30,19,28,11,7,12,38,35,12,36,3,3,1,36,30,28,10,23,24,18,10,11,30,24,12,21,15
30,35,35,23,30,34,20,18,26,22,10,6,36,10,27,38,27,12,19,21,10,7,21,36,14,16,7,25,30,2,11,13,15,24,29,5,8,2,39,25,5,1,32,22,24,29,2,37,29,33,2,29,29,19,27,33,36,5,36,20,28,13,17,37,8,36,17,39,23,26,34,37,39,26,39,29,30,12,34,22,9,29,28,19,11,8,15,32,24,20,7,36,32,31,4,15,14,32,23,30
33,39,29,18,28,37,15,7,33,27,4,12,3,37,11,5,28,26,34,8,22,4,12,21,33,27,30,22,33,22,23,17,18,14,30,32,17,18,36,9,21,5,8,13,23,19,6,5,14,22,28,16,35,21,18,24,21,18,39,29,14,37,37,19,27,1,8,24,25,32,19,26,31,8,14,37,7,33,13,11,2,2,35,29,38,35,28,3,7,16,24,28,22,6,16,13,31,24,25,13
7,33,8,16,15,17,32,19,19,30,34,8,6,34,4,1,24,7,25,11,32,10,22,26,11,38,28,15,5,37,4,34,8,20,10,33,19,7,34,30,12,36,21,29,17,15,34,23,6,38,33,32,23,27,33,8,9,38,29,16,2,15,18,10,29,23,19,4,32,20,4,9,34,7,27,3,21,28,22,37,3,36,26,18,20,28,17,23,6,15,5,33,3,34,27,33,26,9,15,29
38,23,25,32,7,1,8,5,39,33,36,28,37,16,23,29,26,3,38,26,27,17,24,1,3,32,5,38,19,17,18,11,38,34,33,7,28,34,7,35,13,8,27,18,36,34,9,24,23,39,38,14,14,32,34,6,31,12,6,33,9,18,15,9,23,37,5,33,22,17,15,5,13,15,16,27,38,20,37,3,24,3,9,8,36,30,37,20,13,23,10,4,25,2,32,35,27,2,26,32
28,31,22,30,26,26,3,27,28,31,8,36,26,30,18,13,16,2,13,7,6,35,25,37,34,14,27,16,24,8,34,15,9,25,34,6,14,26,29,26,11,28,19,17,13,2,25,18,1,31,10,18,36,11,29,29,25,1,8,6,27,39,14,32,10,35,36,27,3,5,36,35,5,21,8,22,6,27,36,2,27,21,4,34,5,26,26,25,4,33,4,17,7,36,28,37,11,36,36,23
17,12,3,33,1,10,4,11,25,37,20,16,28,14,6,11,31,32,36,2,37,24,34,25,29,13,14,28,20,28,9,14,17,18,39,19,3,9,23,7,28,33,38,8,11,17,3,27,31,23,23,31,30,16,26,37,33,7,34,24,30,34,35,1,33,6,30,35,2,37,29,1,30,39,5,36,25,19,30,28,6,11,18,4,25,17,35,10,22,14,37,22,4,30,38,2,25,26,6,28
14,19,11,12,16,7,33,22,10,15,28,21,11,15,20,32,21,31,6,39,38,16,26,19,31,35,8,34,7,39,29,32,13,1,4,27,22,37,20,29,23,23,35,37,22,9,18,10,13,26,9,1,22,20,3,15,19,15,37,19,23,2,9,8,22,2,11,3,33,16,9,3,37,22,26,13,37,23,16,16,31,20,22,27,31,29,14,34,18,12,25,32,17,35,17,28,8,35,4,38
8,37,33,17,31,35,25,10,14,21,23,25,22,2,12,28,36,33,23,29,3,3,35,29,32,4,23,27,39,11,35,16,4,30,24,20,2,25,38,15,6,39,2,33,32,10,29,36,10,24,1,17,31,38,5,34,3,16,38,14,16,11,11,4,3,10,16,34,27,36,33,14,7,28,38,9,31,2,2,32,23,17,5,28,33,11,13,39,15,28,29,11,30,3,3,25,19,16,8,18
5,3,20,26,3,28,24,26,16,28,11,26,23,29,16,6,14,27,1,14,12,8,29,15,2,23,16,4,1,14,19,25,34,7,23,25,18,28,24,11,4,35,9,32,10,31,12,34,32,25,16,27,38,6,36,12,22,17,21,38,24,9,19,26,36,8,38,21,20,10,16,22,38,6,28,20,35,29,39,33,38,38,16,17,18,31,19,21,39,19,33,10,20,22,39,34,18,17,2,3
29,2,2,11,6,25,5,39,37,23,32,24,34,33,29,17,23,6,20,16,11,39,30,7,10,20,29,32,16,10,32,18,24,31,17,21,30,33,13,37,37,11,12,9,4,25,15,13,15,16,11,11,6,7,23,18,13,34,5,5,19,1,34,2,37,5,28,23,36,34,10,32,6,5,22,1,1,37,31,7,17,24,8,23,29,37,24,11,8,8,3,35,23,32,21,29,21,34,31,20
21,8,26,28,8,32,16,32,34,16,7,30,10,8,9,34,38,34,14,9,2,20,1,12,18,3,26,31,4,4,1,4,10,12,11,36,38,17,18,6,20,38,18,14,34,33,24,12,18,6,25,30,11,35,17,28,2,37,2,27,17,17,8,12,2,27,13,37,30,6,18,33,24,29,34,16,19,14,20,1,25,10,1,15,8,32,30,12,26,1,6,21,38,28,9,6,17,23,18,5
25,7,15,34,38,18,13,17,20,24,37,34,8,26,2,20,34,25,2,13,30,27,8,10,28,31,34,33,3,34,31,23,36,15,35,18,9,12,6,8,7,3,39,4,14,35,38,6,12,1,32,8,24,3,20,25,28,10,9,18,22,29,12,11,31,12,12,29,8,38,7,31,22,37,11,33,9,22,24,27,5,7,14,21,13,10,3,16,23,18,27,18,2,9,31,26,30,21,5,39
37,17,39,14,39,2,21,13,5,3,39,2,33,27,35,37,35,38,15,28,7,30,28,28,22,26,2,29,22,32,28,12,31,10,31,39,10,19,17,22,27,17,10,3,6,21,21,28,8,11,39,36,16,14,13,17,14,11,19,34,18,7,24,31,7,11,32,6,39,11,21,29,36,13,29,10,28,16,27,8,15,25,31,11,17,25,10,19,3,6,30,1,14,12,15,23,6,27,10,22
